"","Accession","Description"
"607","Q8BGS0","Protein MAK16 homolog OS=Mus musculus OX=10090 GN=Mak16 PE=1 SV=1"
"608","O88643","Serine/threonine-protein kinase PAK 1 OS=Mus musculus OX=10090 GN=Pak1 PE=1 SV=1"
"609","F7BWT7","Tetraspanin-15 OS=Mus musculus OX=10090 GN=Tspan15 PE=1 SV=2"
"610","Q921Y4","Molybdate-anion transporter OS=Mus musculus OX=10090 GN=Mfsd5 PE=2 SV=1"
"611","Q80W40","Acyl-coenzyme A synthetase ACSM4, mitochondrial OS=Mus musculus OX=10090 GN=Acsm4 PE=2 SV=1"
"612","O35604","NPC intracellular cholesterol transporter 1 OS=Mus musculus OX=10090 GN=Npc1 PE=1 SV=2"
"613","A2AWA9","Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1"
"614","Q9JLM8","Serine/threonine-protein kinase DCLK1 OS=Mus musculus OX=10090 GN=Dclk1 PE=1 SV=1"
"615","Q99P88","Nuclear pore complex protein Nup155 OS=Mus musculus OX=10090 GN=Nup155 PE=1 SV=1"
"616","Q99LP6","GrpE protein homolog 1, mitochondrial OS=Mus musculus OX=10090 GN=Grpel1 PE=1 SV=1"
"617","P61750","ADP-ribosylation factor 4 OS=Mus musculus OX=10090 GN=Arf4 PE=1 SV=2"
"618","P59438","Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5 PE=1 SV=2"
"619","Q9D4V0","Ethanolamine kinase 1 OS=Mus musculus OX=10090 GN=Etnk1 PE=1 SV=2"
"620","Q99JF8","PC4 and SFRS1-interacting protein OS=Mus musculus OX=10090 GN=Psip1 PE=1 SV=1"
"621","O09110","Dual specificity mitogen-activated protein kinase kinase 3 OS=Mus musculus OX=10090 GN=Map2k3 PE=1 SV=2"
"622","Q9CQJ8","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Mus musculus OX=10090 GN=Ndufb9 PE=1 SV=3"
"623","O88561","Solute carrier family 27 member 3 OS=Mus musculus OX=10090 GN=Slc27a3 PE=1 SV=2"
"624","O08792","Transcription factor COE2 OS=Mus musculus OX=10090 GN=Ebf2 PE=1 SV=4"
"625","Q9JK42","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Mus musculus OX=10090 GN=Pdk2 PE=1 SV=2"
"626","Q3UNA4","NTF2-related export protein 2 OS=Mus musculus OX=10090 GN=Nxt2 PE=2 SV=1"
"627","Q61247","Alpha-2-antiplasmin OS=Mus musculus OX=10090 GN=Serpinf2 PE=1 SV=1"
"628","Q3TRM4","Neuropathy target esterase OS=Mus musculus OX=10090 GN=Pnpla6 PE=1 SV=2"
"629","P60330","Separin OS=Mus musculus OX=10090 GN=Espl1 PE=1 SV=1"
"630","Q8VEK0","Cell cycle control protein 50A OS=Mus musculus OX=10090 GN=Tmem30a PE=1 SV=1"
"631","P26011","Integrin beta-7 OS=Mus musculus OX=10090 GN=Itgb7 PE=1 SV=2"
"632","P26443","Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Glud1 PE=1 SV=1"
"633","Q8BLY7","Hermansky-Pudlak syndrome 6 protein homolog OS=Mus musculus OX=10090 GN=Hps6 PE=1 SV=3"
"634","Q80Z96","Vang-like protein 1 OS=Mus musculus OX=10090 GN=Vangl1 PE=1 SV=2"
"635","P17932","Putative 60S ribosomal protein L32' OS=Mus musculus OX=10090 GN=Rpl32-ps PE=5 SV=2"
"636","Q5SSK3","Transcription elongation factor, mitochondrial OS=Mus musculus OX=10090 GN=Tefm PE=1 SV=1"
"637","Q80V53","Carbohydrate sulfotransferase 14 OS=Mus musculus OX=10090 GN=Chst14 PE=2 SV=2"
"638","P63166","Small ubiquitin-related modifier 1 OS=Mus musculus OX=10090 GN=Sumo1 PE=1 SV=1"
"639","Q9D1R9","60S ribosomal protein L34 OS=Mus musculus OX=10090 GN=Rpl34 PE=1 SV=2"
"640","Q8CIV2","Membralin OS=Mus musculus OX=10090 GN=Tmem259 PE=1 SV=2"
"641","Q921X6","DNA-directed RNA polymerase III subunit RPC6 OS=Mus musculus OX=10090 GN=Polr3f PE=1 SV=1"
"642","O35083","1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Mus musculus OX=10090 GN=Agpat1 PE=1 SV=1"
"643","Q3UPF5","Zinc finger CCCH-type antiviral protein 1 OS=Mus musculus OX=10090 GN=Zc3hav1 PE=1 SV=1"
"644","Q8CGP2","Histone H2B type 1-P OS=Mus musculus OX=10090 GN=Hist1h2bp PE=1 SV=3"
"645","E9Q3C1","C2 domain-containing protein 2 OS=Mus musculus OX=10090 GN=C2cd2 PE=1 SV=1"
"646","A2AIV2","Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma PE=1 SV=1"
"647","Q5DU14","Unconventional myosin-XVI OS=Mus musculus OX=10090 GN=Myo16 PE=1 SV=2"
"648","Q91W53","Golgin subfamily A member 7 OS=Mus musculus OX=10090 GN=Golga7 PE=1 SV=1"
"649","Q91XT6","Tandem C2 domains nuclear protein OS=Mus musculus OX=10090 GN=Tc2n PE=1 SV=2"
"650","P09671","Superoxide dismutase [Mn], mitochondrial OS=Mus musculus OX=10090 GN=Sod2 PE=1 SV=3"
"651","Q3U2A8","Valine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Vars2 PE=1 SV=2"
"652","P24369","Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus OX=10090 GN=Ppib PE=1 SV=2"
"653","Q3THS6","S-adenosylmethionine synthase isoform type-2 OS=Mus musculus OX=10090 GN=Mat2a PE=1 SV=2"
"654","P49025","Citron Rho-interacting kinase OS=Mus musculus OX=10090 GN=Cit PE=1 SV=3"
"655","P70691","UDP-glucuronosyltransferase 1-2 OS=Mus musculus OX=10090 GN=Ugt1a2 PE=1 SV=1"
"656","Q8BL86","Metallo-beta-lactamase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Mblac2 PE=1 SV=2"
"657","Q9DB90","Protein SMG9 OS=Mus musculus OX=10090 GN=Smg9 PE=1 SV=1"
"658","Q8BKN5","Gamma-tubulin complex component 5 OS=Mus musculus OX=10090 GN=Tubgcp5 PE=2 SV=2"
"659","Q6P5F7","Protein tweety homolog 3 OS=Mus musculus OX=10090 GN=Ttyh3 PE=1 SV=1"
"660","A2A9C3","KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2 PE=1 SV=1"
"661","Q6PCM1","Lysine-specific demethylase 3A OS=Mus musculus OX=10090 GN=Kdm3a PE=1 SV=1"
"662","Q00899","Transcriptional repressor protein YY1 OS=Mus musculus OX=10090 GN=Yy1 PE=1 SV=1"
"663","P09411","Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4"
"664","Q8R1G6","PDZ and LIM domain protein 2 OS=Mus musculus OX=10090 GN=Pdlim2 PE=1 SV=1"
"665","P52196","Thiosulfate sulfurtransferase OS=Mus musculus OX=10090 GN=Tst PE=1 SV=3"
"666","Q62240","Lysine-specific demethylase 5D OS=Mus musculus OX=10090 GN=Kdm5d PE=2 SV=2"
"667","Q2NL51","Glycogen synthase kinase-3 alpha OS=Mus musculus OX=10090 GN=Gsk3a PE=1 SV=2"
"668","Q99KP6","Pre-mRNA-processing factor 19 OS=Mus musculus OX=10090 GN=Prpf19 PE=1 SV=1"
"669","Q9CR25","2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 OS=Mus musculus OX=10090 GN=Dph2 PE=1 SV=1"
"670","Q9Z148","Histone-lysine N-methyltransferase EHMT2 OS=Mus musculus OX=10090 GN=Ehmt2 PE=1 SV=2"
"671","Q91VN4","MICOS complex subunit Mic25 OS=Mus musculus OX=10090 GN=Chchd6 PE=1 SV=2"
"672","Q80TE4","Signal-induced proliferation-associated 1-like protein 2 OS=Mus musculus OX=10090 GN=Sipa1l2 PE=1 SV=3"
"673","Q8BGY4","Kelch-like protein 26 OS=Mus musculus OX=10090 GN=Klhl26 PE=1 SV=1"
"674","Q99MJ9","ATP-dependent RNA helicase DDX50 OS=Mus musculus OX=10090 GN=Ddx50 PE=2 SV=1"
"675","Q8R418","Endoribonuclease Dicer OS=Mus musculus OX=10090 GN=Dicer1 PE=1 SV=3"
"676","Q8VD62","UPF0696 protein C11orf68 homolog OS=Mus musculus OX=10090 GN=Bles03 PE=1 SV=2"
"677","Q8BFQ9","Kelch-like protein 42 OS=Mus musculus OX=10090 GN=Klhl42 PE=2 SV=1"
"678","Q3TW96","UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 GN=Uap1l1 PE=1 SV=1"
"679","P28028","Serine/threonine-protein kinase B-raf OS=Mus musculus OX=10090 GN=Braf PE=1 SV=3"
"680","Q9Z1J2","Serine/threonine-protein kinase Nek4 OS=Mus musculus OX=10090 GN=Nek4 PE=1 SV=1"
"681","Q9R257","Heme-binding protein 1 OS=Mus musculus OX=10090 GN=Hebp1 PE=1 SV=2"
"682","Q9D8T0","Protein FAM3A OS=Mus musculus OX=10090 GN=Fam3a PE=2 SV=1"
"683","Q8CIV8","Tubulin-specific chaperone E OS=Mus musculus OX=10090 GN=Tbce PE=1 SV=1"
"684","Q8K3V7","Major intrinsically disordered Notch2-binding receptor 1 OS=Mus musculus OX=10090 GN=Minar1 PE=1 SV=1"
"685","Q8BZ47","Zinc finger protein 609 OS=Mus musculus OX=10090 GN=Znf609 PE=1 SV=2"
"686","P35918","Vascular endothelial growth factor receptor 2 OS=Mus musculus OX=10090 GN=Kdr PE=1 SV=1"
"687","Q80ZA4","Fibrocystin-L OS=Mus musculus OX=10090 GN=Pkhd1l1 PE=1 SV=1"
"688","cRAP056","Keratin, type II microfibrillar, component 7C OS=Ovis aries PE=1 SV=1"
"689","cRAP013","Alpha-S1-casein OS=Bos taurus GN=CSN1S1 PE=1 SV=2"
"690","Q99MZ7","Peroxisomal trans-2-enoyl-CoA reductase OS=Mus musculus OX=10090 GN=Pecr PE=1 SV=1"
"691","O88491","Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific OS=Mus musculus OX=10090 GN=Nsd1 PE=1 SV=1"
"692","P03991","H-2 class I histocompatibility antigen, K-W28 alpha chain OS=Mus musculus OX=10090 GN=H2-K1 PE=1 SV=2"
"693","Q80UX8","Protein ABHD13 OS=Mus musculus OX=10090 GN=Abhd13 PE=2 SV=1"
"694","Q9WTU0","Lysine-specific demethylase PHF2 OS=Mus musculus OX=10090 GN=Phf2 PE=1 SV=2"
"695","O88796","Ribonuclease P protein subunit p30 OS=Mus musculus OX=10090 GN=Rpp30 PE=1 SV=1"
"696","Q9DBB4","N-alpha-acetyltransferase 16, NatA auxiliary subunit OS=Mus musculus OX=10090 GN=Naa16 PE=2 SV=1"
"697","Q8C8B0","ALX homeobox protein 1 OS=Mus musculus OX=10090 GN=Alx1 PE=1 SV=1"
"698","Q9D6L8","Peptidyl-prolyl cis-trans isomerase-like 3 OS=Mus musculus OX=10090 GN=Ppil3 PE=1 SV=1"
"699","Q9D071","MMS19 nucleotide excision repair protein homolog OS=Mus musculus OX=10090 GN=Mms19 PE=1 SV=1"
"700","Q8C4B4","Protein unc-119 homolog B OS=Mus musculus OX=10090 GN=Unc119b PE=1 SV=1"
"701","Q9QVP9","Protein-tyrosine kinase 2-beta OS=Mus musculus OX=10090 GN=Ptk2b PE=1 SV=2"
"702","Q8BM75","AT-rich interactive domain-containing protein 5B OS=Mus musculus OX=10090 GN=Arid5b PE=1 SV=3"
"703","Q9Z1E3","NF-kappa-B inhibitor alpha OS=Mus musculus OX=10090 GN=Nfkbia PE=1 SV=2"
"704","Q9CQ86","Migration and invasion enhancer 1 OS=Mus musculus OX=10090 GN=Mien1 PE=1 SV=1"
"705","Q91YI0","Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1"
"706","Q9Z1Z2","Serine-threonine kinase receptor-associated protein OS=Mus musculus OX=10090 GN=Strap PE=1 SV=2"
"707","Q9JIY8","N-acetyltransferase family 8 member 3 OS=Mus musculus OX=10090 GN=Nat8f3 PE=1 SV=1"
"708","P59113","Fermitin family homolog 1 OS=Mus musculus OX=10090 GN=Fermt1 PE=1 SV=4"
"709","Q6P3B9","Putative ribosome-binding factor A, mitochondrial OS=Mus musculus OX=10090 GN=Rbfa PE=2 SV=1"
"710","Q8BXZ1","Protein disulfide-isomerase TMX3 OS=Mus musculus OX=10090 GN=Tmx3 PE=1 SV=2"
"711","Q8CGB6","Tensin-2 OS=Mus musculus OX=10090 GN=Tns2 PE=1 SV=1"
"712","Q3UM18","Large subunit GTPase 1 homolog OS=Mus musculus OX=10090 GN=Lsg1 PE=1 SV=2"
"713","Q8BFX3","BTB/POZ domain-containing protein KCTD3 OS=Mus musculus OX=10090 GN=Kctd3 PE=1 SV=1"
"714","Q80ZK0","28S ribosomal protein S10, mitochondrial OS=Mus musculus OX=10090 GN=Mrps10 PE=1 SV=1"
"715","Q80UE6","Serine/threonine-protein kinase WNK4 OS=Mus musculus OX=10090 GN=Wnk4 PE=1 SV=1"
"716","Q9DBR3","Armadillo repeat-containing protein 8 OS=Mus musculus OX=10090 GN=Armc8 PE=1 SV=2"
"717","Q8BZ36","RAD50-interacting protein 1 OS=Mus musculus OX=10090 GN=Rint1 PE=1 SV=2"
"718","Q9ER35","Fructosamine-3-kinase OS=Mus musculus OX=10090 GN=Fn3k PE=1 SV=1"
"719","Q8K1G2","Limbin OS=Mus musculus OX=10090 GN=Evc2 PE=1 SV=1"
"720","P47758","Signal recognition particle receptor subunit beta OS=Mus musculus OX=10090 GN=Srprb PE=1 SV=1"
"721","O35516","Neurogenic locus notch homolog protein 2 OS=Mus musculus OX=10090 GN=Notch2 PE=1 SV=2"
"722","Q8K3X6","Ankyrin repeat and SAM domain-containing protein 4B OS=Mus musculus OX=10090 GN=Anks4b PE=1 SV=1"
"723","Q8BVN4","Transcription termination factor 4, mitochondrial OS=Mus musculus OX=10090 GN=Mterf4 PE=2 SV=1"
"724","Q9JLT4","Thioredoxin reductase 2, mitochondrial OS=Mus musculus OX=10090 GN=Txnrd2 PE=1 SV=4"
"725","P08551","Neurofilament light polypeptide OS=Mus musculus OX=10090 GN=Nefl PE=1 SV=5"
"726","Q8K072","Receptor expression-enhancing protein 4 OS=Mus musculus OX=10090 GN=Reep4 PE=1 SV=1"
"727","Q61387","Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Mus musculus OX=10090 GN=Cox7a2l PE=1 SV=1"
"728","P48036","Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1"
"729","Q80VQ1","Leucine-rich repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Lrrc1 PE=1 SV=2"
"730","Q64520","Guanylate kinase OS=Mus musculus OX=10090 GN=Guk1 PE=1 SV=2"
"731","O08746","Matrilin-2 OS=Mus musculus OX=10090 GN=Matn2 PE=2 SV=2"
"732","P14148","60S ribosomal protein L7 OS=Mus musculus OX=10090 GN=Rpl7 PE=1 SV=2"
"733","P28658","Ataxin-10 OS=Mus musculus OX=10090 GN=Atxn10 PE=1 SV=2"
"734","Q6P5G0","Mitogen-activated protein kinase 4 OS=Mus musculus OX=10090 GN=Mapk4 PE=1 SV=1"
"735","Q8BRF7","Sec1 family domain-containing protein 1 OS=Mus musculus OX=10090 GN=Scfd1 PE=1 SV=1"
"736","Q60870","Receptor expression-enhancing protein 5 OS=Mus musculus OX=10090 GN=Reep5 PE=1 SV=1"
"737","Q8BGB5","LIM domain-containing protein 2 OS=Mus musculus OX=10090 GN=Limd2 PE=1 SV=1"
"738","Q9D0A3","Arpin OS=Mus musculus OX=10090 GN=Arpin PE=1 SV=1"
"739","Q3V1H3","Hephaestin-like protein 1 OS=Mus musculus OX=10090 GN=Hephl1 PE=2 SV=2"
"740","Q9ERA6","Tuftelin-interacting protein 11 OS=Mus musculus OX=10090 GN=Tfip11 PE=1 SV=1"
"741","Q3U2V3","8-oxo-dGDP phosphatase NUDT18 OS=Mus musculus OX=10090 GN=Nudt18 PE=1 SV=1"
"742","Q64522","Histone H2A type 2-B OS=Mus musculus OX=10090 GN=Hist2h2ab PE=1 SV=3"
"743","O88543","COP9 signalosome complex subunit 3 OS=Mus musculus OX=10090 GN=Cops3 PE=1 SV=3"
"744","Q9D516","Coiled-coil domain-containing protein 130 OS=Mus musculus OX=10090 GN=Ccdc130 PE=2 SV=1"
"745","Q6ZWY3","40S ribosomal protein S27-like OS=Mus musculus OX=10090 GN=Rps27l PE=1 SV=3"
"746","Q69Z89","Ras-associating and dilute domain-containing protein OS=Mus musculus OX=10090 GN=Radil PE=1 SV=2"
"747","Q9D8Z1","Activating signal cointegrator 1 complex subunit 1 OS=Mus musculus OX=10090 GN=Ascc1 PE=1 SV=1"
"748","Q8CHX7","Raftlin-2 OS=Mus musculus OX=10090 GN=Rftn2 PE=1 SV=3"
"749","P54116","Erythrocyte band 7 integral membrane protein OS=Mus musculus OX=10090 GN=Stom PE=1 SV=3"
"750","Q8BHI7","Elongation of very long chain fatty acids protein 5 OS=Mus musculus OX=10090 GN=Elovl5 PE=1 SV=1"
"751","P97496","SWI/SNF complex subunit SMARCC1 OS=Mus musculus OX=10090 GN=Smarcc1 PE=1 SV=2"
"752","O88829","Lactosylceramide alpha-2,3-sialyltransferase OS=Mus musculus OX=10090 GN=St3gal5 PE=2 SV=2"
"753","Q6ZPY5","Zinc finger protein 507 OS=Mus musculus OX=10090 GN=Znf507 PE=2 SV=2"
"754","P97434","Myosin phosphatase Rho-interacting protein OS=Mus musculus OX=10090 GN=Mprip PE=1 SV=2"
"755","O35640","Annexin A8 OS=Mus musculus OX=10090 GN=Anxa8 PE=1 SV=2"
"756","Q8BFZ9","Erlin-2 OS=Mus musculus OX=10090 GN=Erlin2 PE=1 SV=1"
"757","Q91VX2","Ubiquitin-associated protein 2 OS=Mus musculus OX=10090 GN=Ubap2 PE=1 SV=1"
"758","C0HKE6","Histone H2A type 1-I OS=Mus musculus OX=10090 GN=Hist1h2ai PE=1 SV=1"
"759","Q3UPL0","Protein transport protein Sec31A OS=Mus musculus OX=10090 GN=Sec31a PE=1 SV=2"
"760","Q9Z0R6","Intersectin-2 OS=Mus musculus OX=10090 GN=Itsn2 PE=1 SV=2"
"761","P61080","Ubiquitin-conjugating enzyme E2 D1 OS=Mus musculus OX=10090 GN=Ube2d1 PE=1 SV=1"
"762","Q8JZP9","GAS2-like protein 1 OS=Mus musculus OX=10090 GN=Gas2l1 PE=1 SV=1"
"763","Q9EQP6","Arrestin-C OS=Mus musculus OX=10090 GN=Arr3 PE=1 SV=1"
"764","P63147","Ubiquitin-conjugating enzyme E2 B OS=Mus musculus OX=10090 GN=Ube2b PE=1 SV=1"
"765","Q8VDG6","Mitogen-activated protein kinase kinase kinase 21 OS=Mus musculus OX=10090 GN=Map3k21 PE=1 SV=2"
"766","Q9D172","Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Mus musculus OX=10090 GN=Gatd3a PE=1 SV=1"
"767","Q9WVL6","Exostosin-like 3 OS=Mus musculus OX=10090 GN=Extl3 PE=1 SV=2"
"768","P97465","Docking protein 1 OS=Mus musculus OX=10090 GN=Dok1 PE=1 SV=2"
"769","P08680","5-aminolevulinate synthase, erythroid-specific, mitochondrial OS=Mus musculus OX=10090 GN=Alas2 PE=1 SV=3"
"770","Q3UV55","Nuclear receptor subfamily 1 group D member 1 OS=Mus musculus OX=10090 GN=Nr1d1 PE=1 SV=1"
"771","Q6P5D3","Putative ATP-dependent RNA helicase DHX57 OS=Mus musculus OX=10090 GN=Dhx57 PE=1 SV=2"
"772","Q9ESW8","Pyroglutamyl-peptidase 1 OS=Mus musculus OX=10090 GN=Pgpep1 PE=1 SV=1"
"773","Q8C129","Leucyl-cystinyl aminopeptidase OS=Mus musculus OX=10090 GN=Lnpep PE=1 SV=1"
"774","cRAP046","Keratin, type I cuticular Ha6 OS=Homo sapiens GN=KRT36 PE=1 SV=1"
"775","Q8R1D1","Zinc finger protein 426 OS=Mus musculus OX=10090 GN=Znf426 PE=2 SV=1"
"776","Q3TFQ1","SPRY domain-containing protein 7 OS=Mus musculus OX=10090 GN=Spryd7 PE=1 SV=2"
"777","Q9EQ28","DNA polymerase delta subunit 3 OS=Mus musculus OX=10090 GN=Pold3 PE=1 SV=2"
"778","Q91ZM2","SH2B adapter protein 1 OS=Mus musculus OX=10090 GN=Sh2b1 PE=1 SV=2"
"779","Q922Q5","Adenosine 3'-phospho 5'-phosphosulfate transporter 2 OS=Mus musculus OX=10090 GN=Slc35b3 PE=2 SV=1"
"780","Q6NZN0","RNA-binding protein 26 OS=Mus musculus OX=10090 GN=Rbm26 PE=1 SV=2"
"781","Q61496","ATP-dependent RNA helicase DDX4 OS=Mus musculus OX=10090 GN=Ddx4 PE=1 SV=2"
"782","P49813","Tropomodulin-1 OS=Mus musculus OX=10090 GN=Tmod1 PE=1 SV=2"
"783","Q5U4D8","Sodium-dependent multivitamin transporter OS=Mus musculus OX=10090 GN=Slc5a6 PE=1 SV=2"
"784","Q922J3","CAP-Gly domain-containing linker protein 1 OS=Mus musculus OX=10090 GN=Clip1 PE=1 SV=1"
"785","Q9CQQ4","Gem-associated protein 2 OS=Mus musculus OX=10090 GN=Gemin2 PE=2 SV=1"
"786","P47802","Metaxin-1 OS=Mus musculus OX=10090 GN=Mtx1 PE=1 SV=1"
"787","P61205","ADP-ribosylation factor 3 OS=Mus musculus OX=10090 GN=Arf3 PE=2 SV=2"
"788","Q9D6V8","Polyadenylate-binding protein-interacting protein 2 OS=Mus musculus OX=10090 GN=Paip2 PE=1 SV=1"
"789","P57784","U2 small nuclear ribonucleoprotein A' OS=Mus musculus OX=10090 GN=Snrpa1 PE=1 SV=2"
"790","Q99L48","60S ribosomal export protein NMD3 OS=Mus musculus OX=10090 GN=Nmd3 PE=1 SV=1"
"791","Q3UQ28","Peroxidasin homolog OS=Mus musculus OX=10090 GN=Pxdn PE=1 SV=2"
"792","Q3TEA8","Heterochromatin protein 1-binding protein 3 OS=Mus musculus OX=10090 GN=Hp1bp3 PE=1 SV=1"
"793","Q64521","Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Gpd2 PE=1 SV=2"
"794","Q08091","Calponin-1 OS=Mus musculus OX=10090 GN=Cnn1 PE=1 SV=1"
"795","Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus OX=10090 GN=Phgdh PE=1 SV=3"
"796","Q9Z2V5","Histone deacetylase 6 OS=Mus musculus OX=10090 GN=Hdac6 PE=1 SV=3"
"797","Q9CQJ1","HIG1 domain family member 2A OS=Mus musculus OX=10090 GN=Higd2a PE=3 SV=1"
"798","Q9JI99","Sphingosine-1-phosphate phosphatase 1 OS=Mus musculus OX=10090 GN=Sgpp1 PE=1 SV=1"
"799","O54890","Integrin beta-3 OS=Mus musculus OX=10090 GN=Itgb3 PE=1 SV=2"
"800","O09174","Alpha-methylacyl-CoA racemase OS=Mus musculus OX=10090 GN=Amacr PE=1 SV=4"
"801","cRAP087","Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4"
"802","Q812F8","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B OS=Mus musculus OX=10090 GN=Mgat4b PE=2 SV=1"
"803","Q62394","Zinc finger protein 185 OS=Mus musculus OX=10090 GN=Znf185 PE=1 SV=1"
"804","Q91V08","C-type lectin domain family 2 member D OS=Mus musculus OX=10090 GN=Clec2d PE=1 SV=1"
"805","Q9D110","5-formyltetrahydrofolate cyclo-ligase OS=Mus musculus OX=10090 GN=Mthfs PE=2 SV=2"
"806","P01831","Thy-1 membrane glycoprotein OS=Mus musculus OX=10090 GN=Thy1 PE=1 SV=1"
"807","Q69ZX6","ATPase MORC2A OS=Mus musculus OX=10090 GN=Morc2a PE=1 SV=2"
"808","P37804","Transgelin OS=Mus musculus OX=10090 GN=Tagln PE=1 SV=3"
"809","Q9CXI0","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Mus musculus OX=10090 GN=Coq5 PE=1 SV=2"
"810","O35465","Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Mus musculus OX=10090 GN=Fkbp8 PE=1 SV=2"
"811","Q9QZ88","Vacuolar protein sorting-associated protein 29 OS=Mus musculus OX=10090 GN=Vps29 PE=1 SV=1"
"812","Q9CQA3","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdhb PE=1 SV=1"
"813","P13439","Uridine 5'-monophosphate synthase OS=Mus musculus OX=10090 GN=Umps PE=1 SV=3"
"814","Q9D3B1","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 OS=Mus musculus OX=10090 GN=Hacd2 PE=1 SV=1"
"815","P00015","Cytochrome c, testis-specific OS=Mus musculus OX=10090 GN=Cyct PE=1 SV=3"
"816","Q9CQG1","Putative glutathione-specific gamma-glutamylcyclotransferase 2 OS=Mus musculus OX=10090 GN=Chac2 PE=1 SV=1"
"817","O88662","Epithelial membrane protein 2 OS=Mus musculus OX=10090 GN=Emp2 PE=1 SV=1"
"818","P26150","3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 3 OS=Mus musculus OX=10090 GN=Hsd3b3 PE=1 SV=3"
"819","Q9Z210","Peroxisomal membrane protein 11B OS=Mus musculus OX=10090 GN=Pex11b PE=1 SV=1"
"820","Q61189","Methylosome subunit pICln OS=Mus musculus OX=10090 GN=Clns1a PE=1 SV=1"
"821","P97930","Thymidylate kinase OS=Mus musculus OX=10090 GN=Dtymk PE=1 SV=2"
"822","Q8BG02","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform OS=Mus musculus OX=10090 GN=Ppp2r2c PE=1 SV=1"
"823","Q9Z0J1","Reversion-inducing cysteine-rich protein with Kazal motifs OS=Mus musculus OX=10090 GN=Reck PE=1 SV=2"
"824","P62892","60S ribosomal protein L39 OS=Mus musculus OX=10090 GN=Rpl39 PE=1 SV=2"
"825","E9Q5K9","YTH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ythdc1 PE=1 SV=2"
"826","P47968","Ribose-5-phosphate isomerase OS=Mus musculus OX=10090 GN=Rpia PE=1 SV=2"
"827","Q60738","Zinc transporter 1 OS=Mus musculus OX=10090 GN=Slc30a1 PE=1 SV=1"
"828","Q9JJZ2","Tubulin alpha-8 chain OS=Mus musculus OX=10090 GN=Tuba8 PE=1 SV=1"
"829","Q99M08","Uncharacterized protein C4orf3 homolog OS=Mus musculus OX=10090 PE=1 SV=1"
"830","P70444","BH3-interacting domain death agonist OS=Mus musculus OX=10090 GN=Bid PE=1 SV=2"
"831","Q3UG20","Inactive histone-lysine N-methyltransferase 2E OS=Mus musculus OX=10090 GN=Kmt2e PE=1 SV=2"
"832","Q9JHL1","Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Mus musculus OX=10090 GN=Slc9a3r2 PE=1 SV=2"
"833","O70131","Ninjurin-1 OS=Mus musculus OX=10090 GN=Ninj1 PE=1 SV=1"
"834","Q62446","Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Mus musculus OX=10090 GN=Fkbp3 PE=1 SV=2"
"835","Q9DCC8","Mitochondrial import receptor subunit TOM20 homolog OS=Mus musculus OX=10090 GN=Tomm20 PE=1 SV=1"
"836","P14404","Histone-lysine N-methyltransferase MECOM OS=Mus musculus OX=10090 GN=Mecom PE=1 SV=2"
"837","Q61335","B-cell receptor-associated protein 31 OS=Mus musculus OX=10090 GN=Bcap31 PE=1 SV=4"
